key	enc	maxbytes	ja	ko
001C1A64	sjis	23	さっそく始めましょう。	바로 시작할게요.
001C1AE4	sjis	19	よく見てて下さい。	잘 보고 계세요.
001C1B14	sjis	31	にんじんを切ることができます。	당근을 자를 수 있어요.
001C1B4C	sjis	27	きれいに切ってくださいね。	깔끔하게 잘라 주세요.
001C1BB8	sjis	27	にんじんを切るとするか！	당근을 잘라 볼까！
001C1E50	sjis	19	「大さじ３はい」	「큰술 ３번」
001C1E80	sjis	11	「三ふり」	「세 번」
001C2408	sjis	7	残念！	유감！
001C273C	sjis	15	いきましょか！	시작해 볼까！
001C2834	sjis	19	取り合う札です。	뺏는 패예요.
001C29FC	sjis	15	決定ですねん。	결정이라예.
001C2A6C	sjis	15	めくられます。	뒤집혀요.
001C2AD8	sjis	19	たまりまへんな！	못 참겠네예！
001C2B1C	sjis	19	よう見といてな。	잘 봐 두이소.
001C2BA4	sjis	19	捨てるさかいな。	버릴 기라예.
001C2BE4	sjis	15	ウチの番や。	내 차례다.
001C2C9C	sjis	15	簡単ですやろ？	간단하지예？
001C2E18	sjis	19	集めたさかい……	모았으니까……
001C2EA0	sjis	15	簡単ですやろ？	간단하지예？
001C2F30	sjis	15	数えますねん。	세는 기라예.
001C2FB8	sjis	19	憶えられますわ。	기억되지예.
001C3078	sjis	15	札があるやろ。	패가 있지예.
001C3104	sjis	15	点数は６文や。	점수는 ６문.
001C31C8	sjis	11	選んでや。	골라 봐.
001C3244	sjis	15	取れますねん。	가져오지예.
001C3280	sjis	15	限りまへんで。	아니라예.
001C32C0	sjis	15	よかったり……	좋기도 하고…
001C3368	sjis	15	勝負は続行や！	승부는 계속！
001C346C	sjis	19	めちゃすごいで！	엄청 대단하데！
001C34B0	sjis	11	続行や！	계속！
001C3514	sjis	19	勝負あり、やな。	승부 났네예.
001C3554	sjis	15	全部パーや。	전부 꽝.
001C4A48	sjis	27	名前を教えてくれるかな？	이름을 알려 줄래？
001C4B24	sjis	11	あきひこ	아키히코
001C4B30	sjis	11	まさみち	마사미치
001C4B3C	sjis	11	けいすけ	케이스케
001C4B48	sjis	7	たけし	타케시
001C4B50	sjis	11	ゆういち	유이치
001C4B5C	sjis	11	こういち	코이치
